"id","zip_code","name_th","name_en","amphure_id","created_at","updated_at","deleted_at"
"101401","10400","สามเสนใน","Samsen Nai","14","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101501","10600","วัดกัลยาณ์","Wat Kanlaya","15","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101502","10600","หิรัญรูจี","Hiran Ruchi","15","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101503","10600","บางยี่เรือ","Bang Yi Ruea","15","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101504","10600","บุคคโล","Bukkhalo","15","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101505","10600","ตลาดพลู","Talat Phlu","15","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101506","10600","ดาวคะนอง","Dao Khanong","15","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101507","10600","สำเหร่","Samre","15","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101601","10600","วัดอรุณ","Wat Arun","16","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101602","10600","วัดท่าพระ","Wat Tha Phra","16","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101701","10310","ห้วยขวาง","Huai Khwang","17","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101702","10310","บางกะปิ","Bang Kapi","17","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101704","10310","สามเสนนอก","Samsen Nok","17","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101801","10600","สมเด็จเจ้าพระยา","Somdet Chao Phraya","18","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101802","10600","คลองสาน","Khlong San","18","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101803","10600","บางลำภูล่าง","Bang Lamphu Lang","18","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101804","10600","คลองต้นไทร","Khlong Ton Sai","18","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101901","10170","คลองชักพระ","Khlong Chak Phra","19","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101902","10170","ตลิ่งชัน","Taling Chan","19","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101903","10170","ฉิมพลี","Chimphli","19","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101904","10170","บางพรม","Bang Phrom","19","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101905","10170","บางระมาด","Bang Ramat","19","9/8/2019 03:33:09","9/8/2019 03:33:09",
"101907","10170","บางเชือกหนัง","Bang Chueak Nang","19","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102004","10700","ศิริราช","Siri Rat","20","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102005","10700","บ้านช่างหล่อ","Ban Chang Lo","20","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102006","10700","บางขุนนนท์","Bang Khun Non","20","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102007","10700","บางขุนศรี","Bang Khun Si","20","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102009","10700","อรุณอมรินทร์","Arun Ammarin","20","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102105","10150","ท่าข้าม","Tha Kham","21","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102107","10150","แสมดำ","Samae Dam","21","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102201","10160","บางหว้า","Bang Wa","22","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102202","10160","บางด้วน","Bang Duan","22","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102203","10160","บางแค","Bang Kae","22","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102204","10160","บางแคเหนือ","Bang Kae Nua","22","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102205","10160","บางไผ่","Bang Phai","22","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102206","10160","บางจาก","Bang Chak","22","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102207","10160","บางแวก","Bang Waek","22","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102208","10160","คลองขวาง","Khlong Khwang","22","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102209","10160","ปากคลองภาษีเจริญ","Pak Khlong Phasi Charoen","22","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102210","10160","คูหาสวรรค์","Khuha Sawan","22","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102302","10160","หนองแขม","Nong Khaem","23","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102303","10160","หนองค้างพลู","Nong Khang Phlu","23","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102401","10140","ราษฎร์บูรณะ","Rat Burana","24","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102402","10140","บางปะกอก","Bang Pakok","24","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102501","10700","บางพลัด","Bang Phlat","25","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102502","10700","บางอ้อ","Bang O","25","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102503","10700","บางบำหรุ","Bang Bamru","25","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102504","10700","บางยี่ขัน","Bang Yi Khan","25","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102601","10400","ดินแดง","Din Daeng","26","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102701","10240","คลองกุ่ม","Khlong Kum","27","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102702","10240","สะพานสูง","Saphan Sung","27","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102703","10240","คันนายาว","Khan Na Yao","27","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102801","10120","ทุ่งวัดดอน","Thung Wat Don","28","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102802","10120","ยานนาวา","Yan Nawa","28","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102803","10120","ทุ่งมหาเมฆ","Thung Maha Mek","28","9/8/2019 03:33:09","9/8/2019 03:33:09",
"102901","10800","บางซื่อ","Bang Sue","29","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103001","10900","ลาดยาว","Lat Yao","30","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103002","10900","เสนานิคม","Sena Nikhom","30","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103003","10900","จันทรเกษม","Chan Kasem","30","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103004","10900","จอมพล","Chom Phon","30","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103005","10900","จตุจักร","Chatuchak","30","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103101","10120","บางคอแหลม","Bang Kho Laem","31","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103102","10120","วัดพระยาไกร","Wat Phraya Krai","31","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103103","10120","บางโคล่","Bang Khlo","31","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103201","10250","ประเวศ","Prawet","32","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103202","10250","หนองบอน","Nong Bon","32","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103203","10250","ดอกไม้","Dokmai","32","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103204","10250","สวนหลวง","Suan Luang","32","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103301","10110","คลองเตย","Khlong Toei","33","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103302","10110","คลองตัน","Khlong Tan","33","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103303","10110","พระโขนง","Phra Khanong","33","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103304","10110","คลองเตยเหนือ","Khlong Toei Nua","33","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103305","10110","คลองตันเหนือ","Khlong Tan Nua","33","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103306","10110","พระโขนงเหนือ","Phra Khanong Nua","33","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103401","10250","สวนหลวง","Suan Luang","34","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103501","10150","บางขุนเทียน","Bang Khun Thian","35","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103502","10150","บางค้อ","Bang Kho","35","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103503","10150","บางมด","Bang Mot","35","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103504","10150","จอมทอง","Chom Thong","35","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103602","10210","สีกัน","Si Kan","36","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103701","10400","ทุ่งพญาไท","Thung Phaya Thai","37","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103702","10400","ถนนพญาไท","Thanon Phaya Thai","37","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103703","10400","ถนนเพชรบุรี","Thanon Phetchaburi","37","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103704","10400","มักกะสัน","Makkasan","37","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103801","10230","ลาดพร้าว","Lat Phrao","38","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103802","10230","จรเข้บัว","Chorakhe Bua","38","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103901","10110","คลองเตยเหนือ","Khlong Toei Nuea","39","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103902","10110","คลองตันเหนือ","Khlong Tan Nuea","39","9/8/2019 03:33:09","9/8/2019 03:33:09",
"103903","10110","พระโขนงเหนือ","Phra Khanong Nuea","39","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104001","10160","บางแค","Bang Khae","40","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104002","10160","บางแคเหนือ","Bang Khae Nuea","40","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104003","10160","บางไผ่","Bang Phai","40","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104004","10160","หลักสอง","Lak Song","40","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104101","10210","ทุ่งสองห้อง","Thung Song Hong","41","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104102","10210","ตลาดบางเขน","Talat Bang Khen","41","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104201","10220","สายไหม","Sai Mai","42","9/8/2019 03:33:09","9/8/2019 03:33:09",
"104202","10220","ออเงิน","O Ngoen","42","9/8/2019 03:33:09","9/8/2019 03:33:09",
