id,name_th,name_en,geography_id,created_at,updated_at,deleted_at
54,เพชรบูรณ์,Phetchabun,2,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
55,ราชบุรี,Ratchaburi,4,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
56,กาญจนบุรี,Kanchanaburi,4,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
57,สุพรรณบุรี,Suphan Buri,2,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
58,นครปฐม,Nakhon Pathom,2,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
59,สมุทรสาคร,Samut Sakhon,2,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
60,สมุทรสงคราม,Samut Songkhram,2,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
61,เพชรบุรี,Phetchaburi,4,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
62,ประจวบคีรีขันธ์,Prachuap Khiri Khan,4,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
63,นครศรีธรรมราช,Nakhon Si Thammarat,6,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
64,กระบี่,Krabi,6,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
65,พังงา,Phangnga,6,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
66,ภูเก็ต,Phuket,6,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
67,สุราษฎร์ธานี,Surat Thani,6,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
68,ระนอง,Ranong,6,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
69,ชุมพร,Chumphon,6,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
70,สงขลา,Songkhla,6,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
71,สตูล,Satun,6,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
72,ตรัง,Trang,6,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
73,พัทลุง,Phatthalung,6,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
74,ปัตตานี,Pattani,6,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
75,ยะลา,Yala,6,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
76,นราธิวาส,Narathiwat,6,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
77,บึงกาฬ,Bueng Kan,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
