id,zip_code,name_th,name_en,prefix_th,prefix_en,district_id,lat,long,created_at,updated_at,deleted_at
100801,10100,ป้อมปราบ,Pom Prap,แขวง,Khwaeng,1008,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
100802,10100,วัดเทพศิรินทร์,Wat Thep Sirin,แขวง,Khwaeng,1008,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
100803,10100,คลองมหานาค,Khlong Maha Nak,แขวง,Khwaeng,1008,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
100804,10100,บ้านบาตร,Ban Bat,แขวง,Khwaeng,1008,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
100805,10100,วัดโสมนัส,Wat Sommanat,แขวง,Khwaeng,1008,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
100905,10260,บางจาก,Bang Chak,แขวง,Khwaeng,1009,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101001,10510,มีนบุรี,Min Buri,แขวง,Khwaeng,1010,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101002,10510,แสนแสบ,Saen Saep,แขวง,Khwaeng,1010,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101101,10520,ลาดกระบัง,Lat Krabang,แขวง,Khwaeng,1011,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101102,10520,คลองสองต้นนุ่น,Khlong Song Ton Nun,แขวง,Khwaeng,1011,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101103,10520,คลองสามประเวศ,Khlong Sam Prawet,แขวง,Khwaeng,1011,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101104,10520,ลำปลาทิว,Lam Pla Thio,แขวง,Khwaeng,1011,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101105,10520,ทับยาว,Thap Yao,แขวง,Khwaeng,1011,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101106,10520,ขุมทอง,Khum Thong,แขวง,Khwaeng,1011,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101203,10120,ช่องนนทรี,Chong Nonsi,แขวง,Khwaeng,1012,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101204,10120,บางโพงพาง,Bang Phongphang,แขวง,Khwaeng,1012,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101301,10100,จักรวรรดิ,Chakkrawat,แขวง,Khwaeng,1013,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101302,10100,สัมพันธวงศ์,Samphanthawong,แขวง,Khwaeng,1013,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101303,10100,ตลาดน้อย,Talat Noi,แขวง,Khwaeng,1013,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101401,10400,สามเสนใน,Samsen Nai,แขวง,Khwaeng,1014,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101501,10600,วัดกัลยาณ์,Wat Kanlaya,แขวง,Khwaeng,1015,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101502,10600,หิรัญรูจี,Hiran Ruchi,แขวง,Khwaeng,1015,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101503,10600,บางยี่เรือ,Bang Yi Ruea,แขวง,Khwaeng,1015,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101504,10600,บุคคโล,Bukkhalo,แขวง,Khwaeng,1015,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101505,10600,ตลาดพลู,Talat Phlu,แขวง,Khwaeng,1015,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101506,10600,ดาวคะนอง,Dao Khanong,แขวง,Khwaeng,1015,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101507,10600,สำเหร่,Samre,แขวง,Khwaeng,1015,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101601,10600,วัดอรุณ,Wat Arun,แขวง,Khwaeng,1016,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101602,10600,วัดท่าพระ,Wat Tha Phra,แขวง,Khwaeng,1016,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101701,10310,ห้วยขวาง,Huai Khwang,แขวง,Khwaeng,1017,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101702,10310,บางกะปิ,Bang Kapi,แขวง,Khwaeng,1017,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101704,10310,สามเสนนอก,Samsen Nok,แขวง,Khwaeng,1017,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101801,10600,สมเด็จเจ้าพระยา,Somdet Chao Phraya,แขวง,Khwaeng,1018,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101802,10600,คลองสาน,Khlong San,แขวง,Khwaeng,1018,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101803,10600,บางลำภูล่าง,Bang Lamphu Lang,แขวง,Khwaeng,1018,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101804,10600,คลองต้นไทร,Khlong Ton Sai,แขวง,Khwaeng,1018,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101901,10170,คลองชักพระ,Khlong Chak Phra,แขวง,Khwaeng,1019,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101902,10170,ตลิ่งชัน,Taling Chan,แขวง,Khwaeng,1019,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101903,10170,ฉิมพลี,Chimphli,แขวง,Khwaeng,1019,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101904,10170,บางพรม,Bang Phrom,แขวง,Khwaeng,1019,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101905,10170,บางระมาด,Bang Ramat,แขวง,Khwaeng,1019,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
101907,10170,บางเชือกหนัง,Bang Chueak Nang,แขวง,Khwaeng,1019,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102004,10700,ศิริราช,Siri Rat,แขวง,Khwaeng,1020,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102005,10700,บ้านช่างหล่อ,Ban Chang Lo,แขวง,Khwaeng,1020,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102006,10700,บางขุนนนท์,Bang Khun Non,แขวง,Khwaeng,1020,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102007,10700,บางขุนศรี,Bang Khun Si,แขวง,Khwaeng,1020,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102009,10700,อรุณอมรินทร์,Arun Ammarin,แขวง,Khwaeng,1020,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102105,10150,ท่าข้าม,Tha Kham,แขวง,Khwaeng,1021,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102107,10150,แสมดำ,Samae Dam,แขวง,Khwaeng,1021,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102201,10160,บางหว้า,Bang Wa,แขวง,Khwaeng,1022,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102202,10160,บางด้วน,Bang Duan,แขวง,Khwaeng,1022,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102203,10160,บางแค,Bang Kae,แขวง,Khwaeng,1022,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102204,10160,บางแคเหนือ,Bang Kae Nua,แขวง,Khwaeng,1022,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102205,10160,บางไผ่,Bang Phai,แขวง,Khwaeng,1022,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102206,10160,บางจาก,Bang Chak,แขวง,Khwaeng,1022,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102207,10160,บางแวก,Bang Waek,แขวง,Khwaeng,1022,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
102208,10160,คลองขวาง,Khlong Khwang,แขวง,Khwaeng,1022,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
